ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-05-25T00:00:30.338931+02:00;standby;21.1;30.9;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:01:31.148182+02:00;standby;21.1;31.1;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:02:31.794157+02:00;standby;21.1;31.2;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:03:32.401492+02:00;standby;21.1;31.1;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:04:33.117744+02:00;standby;21.1;31.0;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:05:34.143266+02:00;standby;21.1;30.7;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:06:35.619980+02:00;standby;21.1;30.5;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:07:36.204145+02:00;standby;21.1;30.1;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:08:37.058070+02:00;standby;21.1;29.7;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:09:37.677478+02:00;standby;21.1;29.4;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:10:38.277355+02:00;standby;21.1;29.3;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:11:38.837675+02:00;standby;21.1;29.2;25.0;25.0;54.2;10.0;0;0;1;37;16143.84;11276.46;4867.38;32407.891
2026-05-25T00:12:39.440648+02:00;standby;21.1;29.2;25.0;25.0;54.1;10.0;0;0;1;41;16143.84;11276.46;4867.38;32407.891
