ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-06-08T00:00:55.671717+02:00;standby;20.4;37.3;5.0;25.0;57.8;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:01:56.683554+02:00;standby;20.4;37.3;5.0;25.0;57.8;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:02:57.225553+02:00;standby;20.4;37.2;5.0;25.0;57.8;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:03:57.812410+02:00;standby;20.4;37.2;5.0;25.0;57.8;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:04:59.392136+02:00;standby;19.4;37.0;5.0;25.0;57.8;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:05:59.948884+02:00;standby;19.4;37.0;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:07:00.502734+02:00;standby;19.4;37.0;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:08:01.360089+02:00;standby;19.4;36.9;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:09:02.049623+02:00;standby;19.4;36.9;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:10:02.663414+02:00;standby;19.4;36.9;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:11:03.326808+02:00;standby;19.4;36.8;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:12:04.245462+02:00;standby;19.4;36.8;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:13:04.847075+02:00;standby;19.4;36.7;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:14:05.381352+02:00;standby;19.4;36.7;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
2026-06-08T00:15:05.979908+02:00;standby;19.4;36.5;5.0;25.0;57.7;10.0;0;0;0;0;16224.17;11280.08;4944.09;32416.059
