ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-06-15T00:00:48.820042+02:00;standby;19.3;27.9;5.0;25.0;52.2;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:01:49.408603+02:00;standby;19.3;28.0;5.0;25.0;52.2;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:02:50.020466+02:00;standby;19.3;28.0;5.0;25.0;52.2;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:03:50.744201+02:00;standby;19.3;27.9;5.0;25.0;52.2;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:04:51.578294+02:00;standby;19.3;27.9;5.0;25.0;52.2;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:05:52.130266+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:06:52.632314+02:00;standby;19.3;27.9;5.0;25.0;52.2;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:07:53.219547+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:08:54.720385+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:09:55.299311+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:10:55.807073+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:11:56.373416+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:12:57.058936+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:13:58.023276+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:14:58.517936+02:00;standby;19.3;27.9;5.0;25.0;52.1;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:15:59.155723+02:00;standby;19.3;27.9;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:16:59.675295+02:00;standby;19.3;27.9;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:18:00.190006+02:00;standby;19.3;27.7;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:19:01.308803+02:00;standby;19.3;27.7;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:20:01.826026+02:00;standby;19.3;27.7;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:21:02.358883+02:00;standby;19.3;27.7;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:22:02.892574+02:00;standby;19.3;27.7;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:23:03.611488+02:00;standby;19.3;27.7;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:24:04.237130+02:00;standby;19.3;27.7;5.0;25.0;52.0;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
2026-06-15T00:25:04.714087+02:00;standby;19.3;27.7;5.0;25.0;51.9;10.0;0;0;0;0;16259.54;11280.08;4979.47;32419.545
